Date,Date.1,Estimated_Liabilities,Daily_Change_Pct,SCFI_Impact,CNY_Impact,ZAR_Impact,Total_Impact,Lower_CI,Upper_CI,Forecast_Volatility
2024-08-01 00:00:00-03:00,2024-08-01 00:00:00-03:00,3380272896.0,,,,,0.0,,,
2024-08-02 00:00:00-03:00,2024-08-02 00:00:00-03:00,3397116702.3816457,0.4982972351604386,,,,0.4982972351604398,,,
2024-08-05 00:00:00-03:00,2024-08-05 00:00:00-03:00,3394540937.5704665,-0.0758220878715576,,,,-0.0758220878715437,,,
2024-08-06 00:00:00-03:00,2024-08-06 00:00:00-03:00,3415166058.9408636,0.6075967781716818,,,,0.6075967781716796,,,
2024-08-07 00:00:00-03:00,2024-08-07 00:00:00-03:00,3479147063.0517216,1.8734375724822172,,,,1.8734375724821883,,,
2024-08-08 00:00:00-03:00,2024-08-08 00:00:00-03:00,3460374637.7891226,-0.5395697543791877,,,,-0.53956975437919,,,
2024-08-09 00:00:00-03:00,2024-08-09 00:00:00-03:00,3471713224.976897,0.3276693530217978,,,,0.3276693530218033,,,
2024-08-12 00:00:00-03:00,2024-08-12 00:00:00-03:00,3464184261.557345,-0.2168659371225012,,,,-0.2168659371225034,,,
2024-08-13 00:00:00-03:00,2024-08-13 00:00:00-03:00,3486831432.50887,0.6537519150711768,,,,0.6537519150711679,,,
2024-08-14 00:00:00-03:00,2024-08-14 00:00:00-03:00,3485583273.475209,-0.0357963686464457,,,,-0.0357963686464418,,,
2024-08-15 00:00:00-03:00,2024-08-15 00:00:00-03:00,3544277534.1466174,1.683915031325256,,,,1.683915031325275,,,
2024-08-16 00:00:00-03:00,2024-08-16 00:00:00-03:00,3541829430.677718,-0.0690720025537938,,,,-0.0690720025537966,,,
2024-08-19 00:00:00-03:00,2024-08-19 00:00:00-03:00,3541829430.677718,0.0,,,,0.0,,,
2024-08-20 00:00:00-03:00,2024-08-20 00:00:00-03:00,3533253823.8906903,-0.2421236526171988,,,,-0.2421236526172121,,,
2024-08-21 00:00:00-03:00,2024-08-21 00:00:00-03:00,3533253823.8906903,0.0,,,,0.0,,,
2024-08-22 00:00:00-03:00,2024-08-22 00:00:00-03:00,3540626213.9798064,0.2086572450376023,,,,0.2086572450375979,,,
2024-08-23 00:00:00-03:00,2024-08-23 00:00:00-03:00,3550430995.334307,0.276922238099786,,,,0.2769222380997771,,,
2024-08-26 00:00:00-03:00,2024-08-26 00:00:00-03:00,3550430995.334307,0.0,,,,0.0,,,
2024-08-27 00:00:00-03:00,2024-08-27 00:00:00-03:00,3544323665.490334,-0.1720165763536618,,,,-0.1720165763536524,,,
2024-08-28 00:00:00-03:00,2024-08-28 00:00:00-03:00,3534531124.159365,-0.2762880102151754,,,,-0.2762880102151815,,,
2024-08-29 00:00:00-03:00,2024-08-29 00:00:00-03:00,3523477203.2888947,-0.3127407987700059,,,,-0.3127407987699926,,,
2024-08-30 00:00:00-03:00,2024-08-30 00:00:00-03:00,3523477203.2888947,0.0,,,,0.0,,,
2024-09-02 00:00:00-03:00,2024-09-02 00:00:00-03:00,3524710157.6021338,0.0349925440723319,,,,0.0349925440723042,,,
2024-09-03 00:00:00-03:00,2024-09-03 00:00:00-03:00,3516083285.5957007,-0.244754082483245,,,,-0.2447540824832561,,,
2024-09-04 00:00:00-03:00,2024-09-04 00:00:00-03:00,3539569596.8763127,0.6679680022605883,,,,0.6679680022605916,,,
2024-09-05 00:00:00-03:00,2024-09-05 00:00:00-03:00,3537117336.0150175,-0.0692813291045202,,,,-0.0692813291045196,,,
2024-09-06 00:00:00-03:00,2024-09-06 00:00:00-03:00,3539571676.5835423,0.0693881580781763,,,,0.0693881580782018,,,
2024-09-09 00:00:00-03:00,2024-09-09 00:00:00-03:00,3554285846.5027575,0.4157048158272447,,,,0.4157048158272525,,,
2024-09-10 00:00:00-03:00,2024-09-10 00:00:00-03:00,3570145958.1464715,0.4462249894537695,,,,0.4462249894537817,,,
2024-09-11 00:00:00-03:00,2024-09-11 00:00:00-03:00,3545877609.352969,-0.6797578888371736,,,,-0.6797578888371902,,,
2024-09-12 00:00:00-03:00,2024-09-12 00:00:00-03:00,3529970080.54479,-0.4486203575165715,,,,-0.4486203575165787,,,
2024-09-13 00:00:00-03:00,2024-09-13 00:00:00-03:00,3507822238.741272,-0.6274229327207115,,,,-0.6274229327207009,,,
2024-09-16 00:00:00-03:00,2024-09-16 00:00:00-03:00,3523942265.9987745,0.459545158231478,,,,0.4595451582314869,,,
2024-09-17 00:00:00-03:00,2024-09-17 00:00:00-03:00,3536273436.503898,0.3499254407230978,,,,0.3499254407230923,,,
2024-09-18 00:00:00-03:00,2024-09-18 00:00:00-03:00,3538729084.8527613,0.0694416988096691,,,,0.0694416988096602,,,
2024-09-19 00:00:00-03:00,2024-09-19 00:00:00-03:00,3535048554.866045,-0.1040071138101672,,,,-0.1040071138101778,,,
2024-09-20 00:00:00-03:00,2024-09-20 00:00:00-03:00,3511709189.625281,-0.6602275719420403,,,,-0.6602275719420281,,,
2024-09-23 00:00:00-03:00,2024-09-23 00:00:00-03:00,3510470602.545314,-0.0352702064176257,,,,-0.0352702064176102,,,
2024-09-24 00:00:00-03:00,2024-09-24 00:00:00-03:00,3511709723.9745846,0.0352978722674146,,,,0.0352978722674113,,,
2024-09-25 00:00:00-03:00,2024-09-25 00:00:00-03:00,3501801989.1460137,-0.2821342197201093,,,,-0.2821342197201221,,,
2024-09-26 00:00:00-03:00,2024-09-26 00:00:00-03:00,3521686098.902682,0.5678250745844382,,,,0.5678250745844315,,,
2024-09-27 00:00:00-03:00,2024-09-27 00:00:00-03:00,3531559954.87976,0.2803729719169201,,,,0.2803729719169268,,,
2024-09-30 00:00:00-03:00,2024-09-30 00:00:00-03:00,3551240414.7690787,0.5572738433089697,,,,0.5572738433089608,,,
2024-10-01 00:00:00-03:00,2024-10-01 00:00:00-03:00,3614771885.700755,1.788993802488248,,,,1.7889938024882357,,,
2024-10-02 00:00:00-03:00,2024-10-02 00:00:00-03:00,3629124670.446977,0.3970592114816096,,,,0.3970592114815908,,,
2024-10-03 00:00:00-03:00,2024-10-03 00:00:00-03:00,3591034618.1682353,-1.0495658247543949,,,,-1.049565824754383,,,
2024-10-04 00:00:00-03:00,2024-10-04 00:00:00-03:00,3576563269.581844,-0.4029854937397714,,,,-0.4029854937397742,,,
2024-10-07 00:00:00-03:00,2024-10-07 00:00:00-03:00,3563232066.844038,-0.3727377857728919,,,,-0.3727377857728842,,,
2024-10-08 00:00:00-03:00,2024-10-08 00:00:00-03:00,3552274419.9837403,-0.3075198767506282,,,,-0.3075198767506365,,,
2024-10-09 00:00:00-03:00,2024-10-09 00:00:00-03:00,3552274419.9837403,0.0,,,,0.0,,,
2024-10-10 00:00:00-03:00,2024-10-10 00:00:00-03:00,3555940791.7832203,0.1032119528506791,,,,0.1032119528506558,,,
2024-10-11 00:00:00-03:00,2024-10-11 00:00:00-03:00,3527867556.267621,-0.7894742111698938,,,,-0.7894742111699099,,,
2024-10-14 00:00:00-03:00,2024-10-14 00:00:00-03:00,3532797850.991805,0.1397528293097361,,,,0.1397528293097327,,,
2024-10-15 00:00:00-03:00,2024-10-15 00:00:00-03:00,3527875951.582762,-0.1393201540716981,,,,-0.1393201540716998,,,
2024-10-16 00:00:00-03:00,2024-10-16 00:00:00-03:00,3535271291.4259143,0.209625846958561,,,,0.2096258469585377,,,
2024-10-17 00:00:00-03:00,2024-10-17 00:00:00-03:00,3525435944.720725,-0.2782062787951456,,,,-0.2782062787951428,,,
2024-10-18 00:00:00-03:00,2024-10-18 00:00:00-03:00,3527903224.17412,0.0699850881446195,,,,0.0699850881446184,,,
2024-10-21 00:00:00-03:00,2024-10-21 00:00:00-03:00,3521740413.303341,-0.1746876396310992,,,,-0.174687639631102,,,
2024-10-22 00:00:00-03:00,2024-10-22 00:00:00-03:00,3520505065.145722,-0.0350777744138275,,,,-0.0350777744138436,,,
2024-10-23 00:00:00-03:00,2024-10-23 00:00:00-03:00,3511854878.9606104,-0.2457086703482214,,,,-0.2457086703482053,,,
2024-10-24 00:00:00-03:00,2024-10-24 00:00:00-03:00,3521770795.2413807,0.2823555250012211,,,,0.2823555250012277,,,
2024-10-25 00:00:00-03:00,2024-10-25 00:00:00-03:00,3511888885.529906,-0.2805949133551588,,,,-0.2805949133551594,,,
2024-10-28 00:00:00-03:00,2024-10-28 00:00:00-03:00,3529241907.0552516,0.4941221687521313,,,,0.4941221687521535,,,
2024-10-29 00:00:00-03:00,2024-10-29 00:00:00-03:00,3540330541.8650665,0.3141931072406123,,,,0.3141931072406068,,,
2024-10-30 00:00:00-03:00,2024-10-30 00:00:00-03:00,3534193668.5105443,-0.1733418188486268,,,,-0.1733418188486302,,,
2024-10-31 00:00:00-03:00,2024-10-31 00:00:00-03:00,3498523766.63519,-1.0092797741439896,,,,-1.0092797741439874,,,
2024-11-01 00:00:00-03:00,2024-11-01 00:00:00-03:00,3486068466.121141,-0.3560158896970478,,,,-0.3560158896970372,,,
2024-11-04 00:00:00-03:00,2024-11-04 00:00:00-03:00,3502331252.8707275,0.4665079561011032,,,,0.4665079561011065,,,
2024-11-05 00:00:00-03:00,2024-11-05 00:00:00-03:00,3503575186.143347,0.0355172935626812,,,,0.0355172935626646,,,
2024-11-06 00:00:00-03:00,2024-11-06 00:00:00-03:00,3481194341.2099347,-0.6388001896442397,,,,-0.6388001896442386,,,
2024-11-07 00:00:00-03:00,2024-11-07 00:00:00-03:00,3487460548.0505548,0.1800016381286573,,,,0.1800016381286628,,,
2024-11-08 00:00:00-03:00,2024-11-08 00:00:00-03:00,3459949775.3051534,-0.7888482856323487,,,,-0.7888482856323393,,,
2024-11-11 00:00:00-03:00,2024-11-11 00:00:00-03:00,3482679457.5069084,0.6569367672324189,,,,0.6569367672324156,,,
