Date,Date,Estimated_Liabilities,Daily_Change_Pct,SCFI_Impact,CNY_Impact,ZAR_Impact,Total_Impact
2024-08-01 00:00:00+02:00,2024-08-01 00:00:00+02:00,2975000000.0,,,,,0.0
2024-08-02 00:00:00+02:00,2024-08-02 00:00:00+02:00,2958924012.6717343,-0.5403693219585115,,,,-0.540369321958506
2024-08-05 00:00:00+02:00,2024-08-05 00:00:00+02:00,2958924012.6717343,0.0,,,,0.0
2024-08-06 00:00:00+02:00,2024-08-06 00:00:00+02:00,2963056041.6701217,0.13964633700263018,,,,0.1396463370026202
2024-08-07 00:00:00+02:00,2024-08-07 00:00:00+02:00,2967524593.1556125,0.1508088751157155,,,,0.15080887511572105
2024-08-08 00:00:00+02:00,2024-08-08 00:00:00+02:00,2967867776.9683046,0.011564649320305875,,,,0.011564649320312537
2024-08-09 00:00:00+02:00,2024-08-09 00:00:00+02:00,2961349645.479585,-0.219623378753675,,,,-0.21962337875367277
2024-08-12 00:00:00+02:00,2024-08-12 00:00:00+02:00,2971325181.0639,0.33685774320983963,,,,0.33685774320983186
2024-08-13 00:00:00+02:00,2024-08-13 00:00:00+02:00,2988796920.923698,0.5880117050514944,,,,0.5880117050514733
2024-08-14 00:00:00+02:00,2024-08-14 00:00:00+02:00,2980633230.548026,-0.273143026831979,,,,-0.2731430268319679
2024-08-15 00:00:00+02:00,2024-08-15 00:00:00+02:00,2972100883.3483744,-0.28625954754194494,,,,-0.2862595475419538
2024-08-16 00:00:00+02:00,2024-08-16 00:00:00+02:00,2973128459.0726943,0.03457405265336888,,,,0.03457405265337554
2024-08-19 00:00:00+02:00,2024-08-19 00:00:00+02:00,2968677859.3862514,-0.14969416046796136,,,,-0.1496941604679486
2024-08-20 00:00:00+02:00,2024-08-20 00:00:00+02:00,2992000473.375066,0.7856229302574569,,,,0.7856229302574436
2024-08-21 00:00:00+02:00,2024-08-21 00:00:00+02:00,3006609418.2875757,0.48826679816766916,,,,0.4882667981676781
2024-08-22 00:00:00+02:00,2024-08-22 00:00:00+02:00,3015052841.851282,0.28082874723764917,,,,0.2808287472376514
2024-08-23 00:00:00+02:00,2024-08-23 00:00:00+02:00,3023467464.3556867,0.27908706565944463,,,,0.2790870656594413
2024-08-26 00:00:00+02:00,2024-08-26 00:00:00+02:00,3024473755.000327,0.03328266821138737,,,,0.03328266821135406
2024-08-27 00:00:00+02:00,2024-08-27 00:00:00+02:00,3033191693.9899635,0.28824647511731527,,,,0.28824647511730417
2024-08-28 00:00:00+02:00,2024-08-28 00:00:00+02:00,3036533107.8313174,0.11016164418407026,,,,0.11016164418407916
2024-08-29 00:00:00+02:00,2024-08-29 00:00:00+02:00,3048212030.1891026,0.38461370065963063,,,,0.3846137006596384
2024-08-30 00:00:00+02:00,2024-08-30 00:00:00+02:00,3050869128.173687,0.08716906692411985,,,,0.08716906692411097
2024-09-02 00:00:00+02:00,2024-09-02 00:00:00+02:00,3052196137.9041147,0.043496121094577234,,,,0.04349612109459833
2024-09-03 00:00:00+02:00,2024-09-03 00:00:00+02:00,3057833408.289958,0.18469554809521505,,,,0.18469554809521616
2024-09-04 00:00:00+02:00,2024-09-04 00:00:00+02:00,3046584340.732453,-0.36787705723301256,,,,-0.3678770572330259
2024-09-05 00:00:00+02:00,2024-09-05 00:00:00+02:00,3039272497.744058,-0.2400013316761429,,,,-0.2400013316761379
