Date,Date.1,Estimated_Liabilities,Daily_Change_Pct,SCFI_Impact,CNY_Impact,ZAR_Impact,Total_Impact,Lower_CI,Upper_CI,Forecast_Volatility
2024-08-01 00:00:00+02:00,2024-08-01 00:00:00+02:00,21027000000.0,,,,,0.0,,,
2024-08-02 00:00:00+02:00,2024-08-02 00:00:00+02:00,21138518826.946255,0.5303601414669457,,,,0.5303601414669434,,,
2024-08-05 00:00:00+02:00,2024-08-05 00:00:00+02:00,20950547450.712387,-0.8892362694506883,,,,-0.8892362694506929,,,
2024-08-06 00:00:00+02:00,2024-08-06 00:00:00+02:00,20862522083.11129,-0.4201578398282057,,,,-0.4201578398282063,,,
2024-08-07 00:00:00+02:00,2024-08-07 00:00:00+02:00,21051551400.64203,0.906071263952124,,,,0.9060712639521196,,,
2024-08-08 00:00:00+02:00,2024-08-08 00:00:00+02:00,21089344463.85036,0.1795262614572967,,,,0.1795262614573056,,,
2024-08-09 00:00:00+02:00,2024-08-09 00:00:00+02:00,21150872784.879673,0.2917507518300555,,,,0.291750751830061,,,
2024-08-12 00:00:00+02:00,2024-08-12 00:00:00+02:00,21093518029.29905,-0.2711696872463309,,,,-0.2711696872463459,,,
2024-08-13 00:00:00+02:00,2024-08-13 00:00:00+02:00,21235398263.52501,0.6726248036429627,,,,0.6726248036429694,,,
2024-08-14 00:00:00+02:00,2024-08-14 00:00:00+02:00,21283620559.889797,0.2270844924421089,,,,0.2270844924421411,,,
2024-08-15 00:00:00+02:00,2024-08-15 00:00:00+02:00,21318951562.101185,0.1660009024872843,,,,0.1660009024872832,,,
2024-08-16 00:00:00+02:00,2024-08-16 00:00:00+02:00,21379676564.863373,0.2848404743793331,,,,0.2848404743793353,,,
2024-08-19 00:00:00+02:00,2024-08-19 00:00:00+02:00,21357227251.402035,-0.1050030546216662,,,,-0.105003054621649,,,
2024-08-20 00:00:00+02:00,2024-08-20 00:00:00+02:00,21373841891.14156,0.0777939923752635,,,,0.0777939923752624,,,
2024-08-21 00:00:00+02:00,2024-08-21 00:00:00+02:00,21413872706.13642,0.1872888140501016,,,,0.1872888140501016,,,
2024-08-22 00:00:00+02:00,2024-08-22 00:00:00+02:00,21422640398.11353,0.0409439810230782,,,,0.0409439810230716,,,
2024-08-23 00:00:00+02:00,2024-08-23 00:00:00+02:00,21552136349.073544,0.6044817471305697,,,,0.6044817471305375,,,
2024-08-26 00:00:00+02:00,2024-08-26 00:00:00+02:00,21598531547.18391,0.2152696018572042,,,,0.2152696018572087,,,
2024-08-27 00:00:00+02:00,2024-08-27 00:00:00+02:00,21588891405.426025,-0.0446333202645199,,,,-0.0446333202645349,,,
2024-08-28 00:00:00+02:00,2024-08-28 00:00:00+02:00,21613970049.36271,0.116164574946076,,,,0.1161645749460715,,,
2024-08-29 00:00:00+02:00,2024-08-29 00:00:00+02:00,21658276671.92958,0.204990672540406,,,,0.2049906725403994,,,
