,Market,Ticker,Company_Name,Credit_Rating,Base_Rate,Region_Premium,Final_Rate,Initial_Liability_B,Final_Historical_Liability_B,Forecasted_Liability_B,Historical_Change_%,Forecasted_Change_%,Forecast_Volatility
76,Brazil,PETR4.SA,PETRÓLEO BRASILEIRO SA,BB-,9.15,1.25,10.4,322.156986368,341.9445694435686,361.20129796980535,6.1422175873489415,5.631535122073261,0.5963821079528985
70,Brazil,SUZB3.SA,SUZANO SA,BBB-,7.45,1.25,8.7,94.379728896,102.6126565136616,109.92934868604547,8.72319481520627,7.130399329842652,0.5928068232777703
68,Brazil,VALE3.SA,VALE SA,BBB,7.15,1.25,8.4,90.388996096,88.30007035066905,86.25107228554201,-2.3110398782528185,-2.320494261204764,0.7607260557032967
75,Brazil,CSAN3.SA,COSAN SA,BB,8.65,1.25,9.9,61.994999808,49.47855103023885,38.443963089936524,-20.189448853173474,-22.301760481139652,1.1408934734877363
73,Brazil,RENT3.SA,LOCALIZA RENT A CAR SA,BB,8.65,1.25,9.9,44.425617408,38.9882481850533,32.253325350531924,-12.23926540628687,-17.274238130820418,1.4396374993269125
71,Brazil,VIVT3.SA,TELEFÔNICA BRASIL SA,BBB-,7.45,1.25,8.7,19.276582912,19.734507407940278,20.00258563309898,2.3755480835517373,1.358423697217992,0.6617748880988452
72,Brazil,RADL3.SA,RAIA DROGASIL SA,BB+,8.15,1.25,9.4,7.568953856,6.762912285862627,5.831141620265358,-10.649312777860498,-13.77765415566704,0.8845756771244137
74,Brazil,LREN3.SA,LOJAS RENNER SA,BB,8.65,1.25,9.9,3.896443904,4.211178632086663,4.214483319508718,8.077486442537097,0.07847416865376378,1.2929230891785157
69,Brazil,WEGE3.SA,WEG SA,BBB-,7.45,1.25,8.7,3.776237056,3.8758435035718946,4.04524236970183,2.6377170208006895,4.37063225008496,0.7855825385879459
67,Brazil,ABEV3.SA,AMBEV SA,BBB+,6.85,1.25,8.1,3.380272896,3.336710679474332,3.179772363329232,-1.2887189249488396,-4.703383997614807,0.6858972375917564
54,China,600036.SS,MIDEA GROUP CO.,A-,6.55,0.85,7.4,813.304971264,901.2295074103613,998.6877901097346,10.810770775163615,10.813924965618904,0.8185357290048233
51,China,TCEHY,TENCENT HOLDINGS LTD.,A+,6.15,0.85,7.0,377.577,377.3230350576297,356.2755565375742,-0.0672617618049598,-5.57810591045439,1.4798929018248692
50,China,BABA,ALIBABA GROUP HOLDING LTD.,A+,6.15,0.85,7.0,240.122003456,251.44143314214523,249.3222251841194,4.714032668072177,-0.8428236872273231,1.5560315441597548
55,China,JD,JD.COM INC.,BBB+,6.85,0.85,7.7,69.858,82.2506036112023,91.74957340433748,17.739705704718567,11.548814690815767,2.0104291297712735
52,China,600887.SS,INNER MONGOLIA YILI,A,6.35,0.85,7.2,61.827403776,65.91163690285443,70.2611455928554,6.605862251068406,6.598999652233806,0.9652024516298867
57,China,NIO,NIO INC.,B+,9.85,0.85,10.7,33.123946496,32.72316969375004,31.941242273780254,-1.209930713716012,-2.3895222476541744,2.2047067138542995
56,China,PDD,PDD HOLDINGS INC.,BBB,7.15,0.85,8.0,14.431092,13.048461652135543,10.919021587389349,-9.580912850285038,-16.31947214557423,2.210749202809889
58,China,XPEV,XPENG INC.,B,10.35,0.85,11.2,14.016603136,18.410563276592296,24.2749403581627,31.348252482849603,31.853327861111858,2.459102870349065
53,China,601888.SS,CHINA TOURISM GROUP DUTY FREE,A-,6.55,0.85,7.4,5.482051072,5.294584252165993,5.113975104273334,-3.4196474526023257,-3.4112054750809473,1.251798985460273
49,China,600519.SS,KWEICHOW MOUTAI CO.,A+,6.15,0.85,7.0,0.331776736,0.34149709151059215,0.3515062979210157,2.9297881544630533,2.930978523462202,0.9488319326124064
15,France,TTE.PA,TOTALENERGIES SE,A,6.35,0.25,6.6,60.090998784,58.477045892222336,56.590634971809465,-2.6858480045889976,-3.2258998238209102,0.5513718158620128
12,France,MC.PA,LVMH MOËT HENNESSY,A+,6.15,0.25,6.4,39.789,41.92838037252044,43.73280762448314,5.37681362316329,4.303593976039455,0.9597237974920789
18,France,DG.PA,VINCI SA,A-,6.55,0.25,6.8,31.204,31.59832118354665,31.66448723167689,1.2636879359910536,0.2093973529349924,0.5136171426622417
10,France,SAN.PA,SANOFI,AA,5.65,0.25,5.9,21.027,21.977028010243785,22.50002929779217,4.518133876652808,2.379763484419306,0.4916073247257043
16,France,SU.PA,SCHNEIDER ELECTRIC SE,A-,6.55,0.25,6.8,15.953,17.072441603899385,17.940957332962952,7.017122822662714,5.0872379546766044,0.842101324485018
17,France,EN.PA,BOUYGUES SA,A-,6.55,0.25,6.8,15.539,15.410998233796343,15.157463567779125,-0.8237451972691767,-1.6451540787358998,0.4927403738507235
14,France,AI.PA,AIR LIQUIDE SA,A,6.35,0.25,6.6,13.4592,13.57858401125538,13.668630031644772,0.8870067407823701,0.6631473525866349,0.44871847180279956
13,France,EL.PA,EssilorLuxottica SA,A+,6.15,0.25,6.4,11.747,13.051046405229066,14.402840494606318,11.101101602358598,10.35774486891441,0.43873561235181385
11,France,OR.PA,L'OREAL SA,AA,5.65,0.25,5.9,9.8195,9.513242126691209,9.215889748916291,-3.1188744163021753,-3.125668135163273,0.6951826215779682
19,France,VIV.PA,VIVENDI SE,BBB,7.15,0.25,7.4,4.088,3.0270005829981055,2.235188545934564,-25.953997480476875,-26.1583047426865,3.6327918192665587
35,Germany,VOW3.DE,VOLKSWAGEN AG,BBB+,6.85,0.15,7.0,255.537004544,255.67583505737696,260.3848224238336,0.05432892728185479,1.8417803799877674,0.6250620014113626
32,Germany,BMW.DE,BMW AG,A,6.35,0.15,6.5,106.833002496,104.82008686556848,104.3575118096341,-1.8841702314852382,-0.44130382807984203,0.9143871324114218
37,Germany,DTE.DE,DEUTSCHE TELEKOM AG,BBB,7.15,0.15,7.3,85.998,98.58319079731534,110.44776233313955,14.634283119741553,12.035085738112784,0.4283701847113769
34,Germany,MBG.DE,MERCEDES-BENZ GROUP AG,BBB+,6.85,0.15,7.0,85.629,85.6846375543854,86.27398452144199,0.06497513037102554,0.6878093715253275,0.7638043935431492
38,Germany,BAYN.DE,BAYER AG,BBB,7.15,0.15,7.3,83.695,76.12935542000466,70.16809656728606,-9.039541884216916,-7.830433897450484,1.0813416400675582
29,Germany,SIE.DE,SIEMENS AG,A+,6.15,0.15,6.3,46.596,51.90532309008111,58.49930851551735,11.394375246976374,12.70387126575141,0.6850315789652376
30,Germany,BAS.DE,BASF SE,A,6.35,0.15,6.5,23.975999488,25.137865639656653,26.427953781369677,4.8459550236400695,5.132051225851986,0.7126413238548066
36,Germany,RWE.DE,RWE AG,BBB+,6.85,0.15,7.0,20.092000256,18.984151844301895,18.224939332731832,-5.513878148430107,-3.999191103172417,0.7772943891795309
33,Germany,SAP.DE,SAP SE,A,6.35,0.15,6.5,10.903000064,12.72614690743689,14.797394277590149,16.72151547954801,16.275526168434105,0.5543955912229064
31,Germany,HEN3.DE,HENKEL AG & CO KGAA,A,6.35,0.15,6.5,2.975,3.0784987382982196,3.162051143217464,3.478949186494784,2.714063315336346,0.40932438227495327
63,India,BHARTIARTL.NS,BHARTI AIRTEL LIMITED,BBB-,7.45,0.95,8.4,2255.408070656,2347.035796634348,2449.995130712523,4.0625786158376975,4.386781583213106,0.5845477292355891
64,India,ONGC.NS,OIL & NATURAL GAS CORPORATION,BBB-,7.45,0.95,8.4,1434.9624,1300.544737149171,1167.367552456881,-9.367329962849835,-10.240107924639174,0.8711370019812111
66,India,TATAMOTORS.NS,TATA MOTORS LIMITED,BB+,8.15,0.95,9.1,1278.643,1042.009150078907,864.484433969363,-18.50663945456965,-17.036771327401578,0.8850303592868185
59,India,LT.NS,LARSEN & TOUBRO LIMITED,BBB+,6.85,0.95,7.8,1221.0875,1193.9914326328,1186.7007320355017,-2.2190111165006576,-0.610615821691618,0.6818453986689627
65,India,TITAN.NS,TITAN COMPANY LIMITED,BBB-,7.45,0.95,8.4,142.54,143.3471688262217,145.7257431351873,0.5662753095423634,1.6593102803789117,0.608507702684418
61,India,ASIANPAINT.NS,ASIAN PAINTS LIMITED,BBB,7.15,0.95,8.1,23.2677,20.428523039126937,17.902363809991993,-12.20222437487617,-12.36584369950079,0.6261708020889091
60,India,MARUTI.NS,MARUTI SUZUKI INDIA,BBB,7.15,0.95,8.1,3.925,3.811443312241528,3.794493033639172,-2.8931640193241237,-0.44472073211518914,0.6465941341301817
62,India,ITC.NS,ITC LIMITED,BBB,7.15,0.95,8.1,2.8406,2.7246139417525894,2.588768034800354,-4.083153497409375,-4.985877260279059,0.5671303032796032
23,Japan,7203.T,TOYOTA MOTOR CORPORATION,A+,6.15,0.35,6.5,33398.992,35516.68658998729,40667.325206489484,6.3405943208923565,14.502024572174598,1.2296641955639762
28,Japan,9984.T,SOFTBANK GROUP CORP.,BB+,8.15,0.35,8.5,21908.466,23352.694369830155,27954.368336429012,6.592101746558421,19.70510937077932,1.6114022859971044
